REGION,GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC
West Side,East Garfield Park,19730.99942,6670.991714,4692.152755,3402.820606,3143.77324,1074.568976,574.7631739,171.9289521,29.61519338,1174.000001,701.5405568,17303.45886,125,427.0000002,6973.428067,5693.043816,1280.384252,7206.0823,2386.54115,3842.844289,2483.948492,842.914743,1182.68739,627.9715812,3550.331024,1487.764299,715.9168116,417.9705377,387.9792032,160.9913347,22817.61749
Far Southeast Side,East Side,24194.41614,8149.510496,5032.383176,4255.36428,4184.543009,1454.568589,769.9818886,348.0647017,31.52554065,3524.225859,19772.80265,802.6380224,46.86595915,47.88365014,10859.99482,9214.427869,1610.705292,6985.890688,4270.51674,5065.228564,2530.457768,686.9422705,1267.046257,403.2665628,1534.613649,2133.794842,1146.717101,1016.40291,791.0343856,274.7140554,45700.93911
Far North Side,Edgewater,57022,8112,17065,12563,10756,4962,2329,1235,38.49183075,31379,8760.000002,7689,7321,1873,35265.00001,33235.00001,2030,15912,4283.000001,6593.000002,6555.000001,2183,14380,10995,7313,6423.000001,4919,2995,3481,3749.000001,53182.64015
Far North Side,Edison Park,11566.8755,2716.585374,2169.487936,2834.101865,2142.41019,858.5909771,638.4316238,207.2675374,40.73724957,9616.489757,1157.224347,223.0000002,285.2815616,284.8798376,6661.183673,6527.386321,133.7973517,2451.031305,382.388484,1725.129076,1614.759489,523.6798226,2457.409175,1729.375371,436.3916402,608.5400197,540.7267811,678.5640811,838.5413843,1473.084447,101213.0685
Southwest Side,Englewood,23792,6851.999999,5416,3410,4823.000001,1838.000001,1068,385.0000002,33.82945249,172.0000001,1025,22392,75.99999996,126.9999999,9049.999999,6625.999999,2423.999999,8991.999999,3549.000001,5332.000001,4102,846.0000001,903.0000001,353,5157.000001,2194.000001,858,392.0000002,374.9999998,125,21274.57002
Far North Side,Forest Glen,19112.72496,4865.824346,2723.620955,4075.290447,3911.494607,1787.378275,1247.01926,502.0970725,42.95340384,13281.26965,2870.698767,215.0000001,2336.659476,409.0970726,10030.66807,9633.307937,397.3601378,4928.578511,862.4884436,2184.025423,2214.29738,576.1163327,4312.171033,3462.83128,790.7432436,895.6531535,756.9594598,752.3378381,1147.306306,2647.828829,111770.6373
South Side,Fuller Park,2398.903029,409.8634606,433.2583405,337.8456173,546.2792872,456.0480998,152.6082236,63.00000007,50.52317462,85.14274674,159.2552368,2137.966643,12.49340585,4.044996157,877.9143484,619.3532549,258.5610935,1166.192596,433.782778,740.2971305,285.6082238,133.2769591,142.9635379,57.8099303,614.3157901,260.3157898,117.263158,26.05263155,76.26315799,2.36842101,22920.25862
Southwest Side,Gage Park,39302,13727,9768.000001,7652,4978.000001,2195.000001,726,256,28.60855868,1502,36072,1503,206,19,18466.99997,16139.99998,2318.999996,9848.999984,7932,9023.000001,2990,998.0000002,1122,335.0000002,2736.999999,3076.999999,1918.999999,968.9999996,803.9999998,293.9999998,41182.00837
Southwest Side,Garfield Ridge,36395.99999,9337.999997,6468.999998,7413.999999,7527.999999,3123,1711,812.9999999,39.06218145,15662,18302,1657.999999,421.9999996,352,18510.99999,17068.99999,1441.999999,10271.99999,4305.999998,8219.999998,5430,2010,3716,1668,1899,2418.000001,2107.000001,1596,2145.000001,2064,71398.37083
South Side,Grand Boulevard,22784,6209.999999,4421.999998,5157.999999,3730.999999,1883,1029,350.9999999,36.93581253,615,402.9999999,21090,160,515.9999998,10936,9267.999999,1655.999999,6650.999999,2186,3049.999999,3755.999999,1363.999999,2672.999999,2047,4448.999996,2132.999998,1299,752.9999998,820.9999996,927.9999996,32348.13085
